processo_anm;minerais;anos;production_t_rom_estimada;production_t_beneficiada_estimada;company_ids;municipality_ids;na_aba_03_sigmine;versao_planilha
960658/1987;"Ouro; Prata";2022-2025;70291894.657;9.761;COM_NAO_IDENTIFICADO;5206404;não;v16
960657/1987;Ouro;2022-2024;9034604.913;1.332;COM_NAO_IDENTIFICADO;5206404;não;v16
960079/1988;Calcário;2022-2025;4615187.585;3693666.639;COM_NAO_IDENTIFICADO;5209952;não;v16
960993/2007;Calcário;2022-2025;4291237.983;3467829.69;COM_NAO_IDENTIFICADO;5209952;não;v16
961799/2009;Calcário;2022-2025;1619246.369;1303468.184;COM_CNPJ_62258884;5205455;não;v16
960442/2012;Areia;2023-2025;814385.91;89697.306;COM_NAO_IDENTIFICADO;5215603;não;v16
960317/2017;Rochas (Britadas) e Cascalho;2025-2025;787406.191;838853.985;COM_NAO_IDENTIFICADO;5209200;não;v16
960704/2008;"Areia; Rochas Ornamentais; Saibro";2022-2025;575609.837;90120.039;COM_NAO_IDENTIFICADO;5208004;não;v16
860906/2007;Calcário;2022-2025;366178.097;296961.429;COM_NAO_IDENTIFICADO;5222302;não;v16
860713/2003;Areia;2022-2023;317188.242;78856.079;COM_NAO_IDENTIFICADO;5209200;não;v16
860607/2015;Argilas;2022-2022;261747.615;9414.452;COM_NAO_IDENTIFICADO;5217609;não;v16
962157/2010;Areia;2022-2024;259523.847;53177.184;COM_NAO_IDENTIFICADO;5200258;não;v16
960444/2012;Areia;2023-2025;244200.739;27772.922;COM_NAO_IDENTIFICADO;5210109;não;v16
960571/2019;Ouro;2022-2024;189387.658;0.025;COM_NAO_IDENTIFICADO;5206404;não;v16
860450/2008;Rochas (Britadas) e Cascalho;2023-2023;186150.568;173195.461;COM_NAO_IDENTIFICADO;5218805;não;v16
960437/2012;Areia;2023-2025;156018.942;17744.016;COM_NAO_IDENTIFICADO;5215306;não;v16
960451/2012;Areia;2023-2025;154744.896;17599.12;COM_NAO_IDENTIFICADO;5215306;não;v16
960415/2012;Areia;2023-2025;128901.782;14659.984;COM_NAO_IDENTIFICADO;5212501;não;v16
962218/2010;Calcário;2024-2025;106311.026;85993.215;COM_NAO_IDENTIFICADO;5209952;não;v16
960650/2016;Calcário;2022-2022;98855.935;74754.213;COM_NAO_IDENTIFICADO;5208301;não;v16
961230/2012;Alumínio (Bauxita);2022-2025;98739.519;87383.693;COM_NAO_IDENTIFICADO;5203203;não;v16
960446/2012;Areia;2023-2025;95773.15;10892.27;COM_NAO_IDENTIFICADO;5210109;não;v16
960445/2012;Areia;2023-2025;95161.581;10822.714;COM_NAO_IDENTIFICADO;5210109;não;v16
960443/2012;Areia;2023-2025;94796.782;10781.226;COM_NAO_IDENTIFICADO;5210109;não;v16
960416/2012;Areia;2023-2025;86796.033;9559.804;COM_NAO_IDENTIFICADO;5212501;não;v16
961839/2014;Areia;2025-2025;80105.24;8491.671;COM_NAO_IDENTIFICADO;5220157;não;v16
961613/2012;Areia;2022-2023;78465.615;16903.221;COM_NAO_IDENTIFICADO;5206206;não;v16
960642/2016;Calcário;2022-2022;77277.92;58437.059;COM_NAO_IDENTIFICADO;5217609;não;v16
960450/2012;Areia;2023-2025;72119.34;8202.126;COM_NAO_IDENTIFICADO;5215306;não;v16
960438/2012;Areia;2023-2025;71870.62;8173.839;COM_NAO_IDENTIFICADO;5215306;não;v16
960400/2012;Areia;2023-2025;69738.211;7931.319;COM_NAO_IDENTIFICADO;5215306;não;v16
960402/2012;Areia;2023-2025;69053.605;7853.459;COM_NAO_IDENTIFICADO;5215306;não;v16
