campo,contrato_de_dados,descricao,unidade_ou_dominio,fonte_ou_derivacao,tipo,pct_vazio,n_distintos,exemplo,observacao,campo_no_motor_squad2,nota_correspondencia
mineral_id,sim,"Categoria do AMB. No nível operação, a CFEM dos subitens de Calcário (calcítico, dolomítico, industrial) entra em Calcário.",MIN_### (3 dígitos),Derivado — 01_dim_minerais / crosswalk 01b,texto,0,33,MIN_005,,production_history.mineral_id,MIN_### do catálogo (aba 01)
mineral_name,sim,Nome padronizado do mineral (campo fixado no Contrato de Dados).,texto,01_dim_minerais,texto,0,33,Alumínio (Bauxita),,minerals.mineral_name,catálogo completo na aba 01
company_id,sim,Nível operação: titular do processo pela ponte do número do processo (igual à 08 e à 11). Vazio no nível estado.,"COM_CNPJ_########, COM_CPF_###########, COM_NOME_<8 hex>, COM_NAO_IDENTIFICADO","Derivado — Cadastro Mineiro (Titular, CPF/CNPJ)",texto,13.3,480,COM_CNPJ_61409892,,production_history.company_id,vazio no nível estado
operation_id,sim,"Nível operação, quando o processo tem poligonal no SIGMINE de GO (03_dim_operacoes). Vazio no nível estado.",OPE_<número>_<ano>,Derivado — SIGMINE.PROCESSO,texto,21.5,820,OPE_861979_2005,,production_history.operation_id,vazio no nível estado e nos processos sem poligonal no SIGMINE (usar processo_anm?)
project_id,sim,Vazio: depende do Radar de Projetos (Squad 1 / Estudante 2).,PRJ_<número>_<ano>,Derivado — SIGMINE (camada ANM do Radar de Projetos),vazio,100,0,,coluna 100% vazia,projects.project_id,vazio até o Radar de Projetos (Estudante 2)
municipality_id,sim,"Nível operação: município principal do polígono (03); sem poligonal, o município com mais CFEM do processo no ano. Vazio no nível estado.",52##### (7 dígitos),IBGE — malha 2025 (CD_MUN),texto,13.3,177,5203203,,,
year,sim,Ano (contrato): produção do AMB 2010–2025; abertura por operação só em 2022–2025 (anos com CFEM na base).,AAAA,—,inteiro,0,16,2010,,production_history.year,
production_t,sim,"Produção em t (contrato): OBSERVADA no nível estado (AMB, massa convertida para t) e ESTIMADA no nível operação (rateio pela CFEM).",t,—,decimal,0,5024,4160,,production_history.production_t,
production_basis,sim,"ROM (produção bruta) ou beneficiada — a mesma base do total rateado. O conteúdo mineral (contido) fica na 08, porque depende da indicação (Au, Nb2O5…).",ROM; beneficiada,Contrato de Dados / AMB,texto,0,2,ROM,,production_history.production_basis,"ROM e beneficiada; o motor escreve rom, beneficiada, conteudo_mineral"
latitude,sim,Latitude do representative_point do polígono do processo (03). Vazia no nível estado e em processos sem poligonal no SIGMINE.,"graus decimais, SIRGAS 2000",Derivado — geometria,decimal,21.5,814,-15.061306,,,
longitude,sim,Longitude do representative_point do polígono do processo (03). Vazia no nível estado e em processos sem poligonal no SIGMINE.,"graus decimais, SIRGAS 2000",Derivado — geometria,decimal,21.5,816,-49.001115,,,
source_id,sim,"Fontes de todos os valores da linha, separadas por ';' (a estimativa combina AMB, CFEM, Cadastro Mineiro, SIGMINE e malha do IBGE).",SRC_*,Governança,texto,0,10,SRC_ANM_PROD_BRUTA,,production_history.source_id,"uma fonte no nível estado; várias, separadas por ';', no nível operação"
