mineral_id,mineral_name,company_id,operation_id,project_id,municipality_id,year,production_t,production_basis,latitude,longitude,source_id,nivel_agregacao,processo_anm,valor_observado_estimado,metodo_estimacao,erro_estimativa_intervalo,participacao_cfem_brl,cfem_brl_operacao,cfem_brl_mineral_ano,production_t_rateio_por_t,status_validacao,responsavel_validacao,periodo_referencia,tipo_fonte,source_url,data_acesso,fato_ids,observacao,versao_base
MIN_005,Alumínio (Bauxita),,,,,2010,4160,ROM,,,SRC_ANM_PROD_BRUTA,estado,,observado,,,,,,,valido,Squad 1 / Estudante 1 — checagens automáticas do pipeline (ver 14b),2010,oficial,https://dadosabertos.anm.gov.br/AMB/Producao_Bruta.csv,2026-09-10,FATO_000600,antes de 2022 não há CFEM na base para abrir por operação,v17
MIN_005,Alumínio (Bauxita),,,,,2011,10365,ROM,,,SRC_ANM_PROD_BRUTA,estado,,observado,,,,,,,valido,Squad 1 / Estudante 1 — checagens automáticas do pipeline (ver 14b),2011,oficial,https://dadosabertos.anm.gov.br/AMB/Producao_Bruta.csv,2026-09-10,FATO_003360,antes de 2022 não há CFEM na base para abrir por operação,v17
MIN_005,Alumínio (Bauxita),,,,,2012,46500,ROM,,,SRC_ANM_PROD_BRUTA,estado,,observado,,,,,,,valido,Squad 1 / Estudante 1 — checagens automáticas do pipeline (ver 14b),2012,oficial,https://dadosabertos.anm.gov.br/AMB/Producao_Bruta.csv,2026-09-10,FATO_006117,antes de 2022 não há CFEM na base para abrir por operação,v17
MIN_005,Alumínio (Bauxita),,,,,2013,21261.25,ROM,,,SRC_ANM_PROD_BRUTA,estado,,observado,,,,,,,valido,Squad 1 / Estudante 1 — checagens automáticas do pipeline (ver 14b),2013,oficial,https://dadosabertos.anm.gov.br/AMB/Producao_Bruta.csv,2026-09-10,FATO_008906,antes de 2022 não há CFEM na base para abrir por operação,v17
MIN_005,Alumínio (Bauxita),,,,,2014,576749.92,ROM,,,SRC_ANM_PROD_BRUTA,estado,,observado,,,,,,,valido,Squad 1 / Estudante 1 — checagens automáticas do pipeline (ver 14b),2014,oficial,https://dadosabertos.anm.gov.br/AMB/Producao_Bruta.csv,2026-09-10,FATO_011821,antes de 2022 não há CFEM na base para abrir por operação,v17
MIN_005,Alumínio (Bauxita),,,,,2014,476371.85,beneficiada,,,SRC_ANM_PROD_BENEF,estado,,observado,,,,,,,valido,Squad 1 / Estudante 1 — checagens automáticas do pipeline (ver 14b),2014,oficial,https://dadosabertos.anm.gov.br/AMB/Producao_Beneficiada.csv,2026-09-10,FATO_053903,antes de 2022 não há CFEM na base para abrir por operação,v17
MIN_005,Alumínio (Bauxita),,,,,2015,532230.72,ROM,,,SRC_ANM_PROD_BRUTA,estado,,observado,,,,,,,valido,Squad 1 / Estudante 1 — checagens automáticas do pipeline (ver 14b),2015,oficial,https://dadosabertos.anm.gov.br/AMB/Producao_Bruta.csv,2026-09-10,FATO_014678,antes de 2022 não há CFEM na base para abrir por operação,v17
MIN_005,Alumínio (Bauxita),,,,,2015,527101.6499999999,beneficiada,,,SRC_ANM_PROD_BENEF,estado,,observado,,,,,,,valido,Squad 1 / Estudante 1 — checagens automáticas do pipeline (ver 14b),2015,oficial,https://dadosabertos.anm.gov.br/AMB/Producao_Beneficiada.csv,2026-09-10,FATO_055697,antes de 2022 não há CFEM na base para abrir por operação,v17
MIN_005,Alumínio (Bauxita),,,,,2016,736510.1,ROM,,,SRC_ANM_PROD_BRUTA,estado,,observado,,,,,,,valido,Squad 1 / Estudante 1 — checagens automáticas do pipeline (ver 14b),2016,oficial,https://dadosabertos.anm.gov.br/AMB/Producao_Bruta.csv,2026-09-10,FATO_017493,antes de 2022 não há CFEM na base para abrir por operação,v17
MIN_005,Alumínio (Bauxita),,,,,2016,733565.8200000001,beneficiada,,,SRC_ANM_PROD_BENEF,estado,,observado,,,,,,,valido,Squad 1 / Estudante 1 — checagens automáticas do pipeline (ver 14b),2016,oficial,https://dadosabertos.anm.gov.br/AMB/Producao_Beneficiada.csv,2026-09-10,FATO_057559,antes de 2022 não há CFEM na base para abrir por operação,v17
