"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF/CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação"
"Gerência Regional / GO","860212/2025","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860211/2025","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860064/2021","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860928/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO, PIRES DO RIO - GO","GNAISSE","Brita","Sim"
"Gerência Regional / GO","860927/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO, PIRES DO RIO - GO","GNAISSE","Brita","Sim"
"Gerência Regional / GO","860435/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","02.056.554/0001-36","CALCARIO RIO VERDE MINERACAO E AGROPECUARIA LTDA","CAIAPÔNIA - GO, PALESTINA DE GOIÁS - GO","OURO","Industrial","Sim"
"Gerência Regional / GO","860429/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","02.056.554/0001-36","CALCARIO RIO VERDE MINERACAO E AGROPECUARIA LTDA","ARENÓPOLIS - GO, CAIAPÔNIA - GO, PALESTINA DE GOIÁS - GO","OURO","Industrial","Sim"
"Gerência Regional / GO","860007/2022","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","02.056.554/0001-36","CALCARIO RIO VERDE MINERACAO E AGROPECUARIA LTDA","MINEIROS - GO, PORTELÂNDIA - GO","GIPSITA, OURO","Industrial, Industrial","Sim"
"Gerência Regional / GO","860962/2022","Requerimento de Pesquisa - Leilão","Autorização de Pesquisa","02.056.554/0001-36","CALCARIO RIO VERDE MINERACAO E AGROPECUARIA LTDA","ANÁPOLIS - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / GO","861752/2021","Requerimento de Pesquisa - Leilão","Autorização de Pesquisa","25.913.377/0001-62","C. FERNANDO R. DA PAZ & CIA LTDA","CAVALCANTE - GO","QUARTZITO","Revestimento","Sim"
