"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação","Data da Cessão"
"Gerência Regional / GO","860743/2002","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO, PIRES DO RIO - GO","AREIA, MINÉRIO DE OURO","Construção civil, Metalurgia","Sim","26/03/2004"
"Gerência Regional / GO","860519/2002","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO, PIRES DO RIO - GO","AREIA","Construção civil","Sim","16/04/2004"
"Gerência Regional / GO","860213/2013","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO","AREIA, DIAMANTE","Construção civil, Industrial","Sim","06/10/2016"
"Gerência Regional / GO","800464/1969","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.162.123/0001-29","MINERACAO PEDRA LINDA LTDA","SANTO ANTÔNIO DO DESCOBERTO - GO","FERRO, MANGANÊS","Demais substâncias, Demais substâncias","Sim","05/08/2022"
"Gerência Regional / GO","860439/2017","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","CAMPINAÇU - GO","QUARTZITO, QUARTZO","Industrial, Revestimento","Sim","28/12/2017"
"Gerência Regional / GO","861541/2011","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","01.059.930/0001-83","CALCARIO SANTA TEREZA LTDA","FORMOSO - GO","CALCÁRIO, CALCÁRIO CALCÍTICO, CALCÁRIO DOLOMÍTICO","Corretivo de solo, Corretivo de solo, Fabricação de cal","Sim","14/06/2017"
"Gerência Regional / GO","861540/2011","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","01.059.930/0001-83","CALCARIO SANTA TEREZA LTDA","FORMOSO - GO","CALCÁRIO CALCÍTICO, CALCÁRIO DOLOMÍTICO","Corretivo de solo, Fabricação de cal","Sim","17/03/2026"
"Gerência Regional / GO","807299/1977","Requerimento de Autorização de Pesquisa","Concessão de Lavra","02.683.365/0001-93","BRASIL MINERIOS S/A","SÃO LUÍS DE MONTES BELOS - GO","VERMICULITA","Demais substâncias","Sim","27/02/1991"
"Gerência Regional / GO","860179/1978","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","02.683.365/0001-93","BRASIL MINERIOS S/A","SÃO LUÍS DE MONTES BELOS - GO","VERMICULITA","Demais substâncias","Sim","09/11/1999"
"Gerência Regional / GO","860577/1986","Requerimento de Autorização de Pesquisa","Concessão de Lavra","03.299.740/0001-69","SOMA EMPRESA DE MINERACAO LTDA","CALDAS NOVAS - GO","ÁGUA MINERAL","Demais substâncias","Sim","12/05/1997"
"Gerência Regional / GO","860743/2002","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO, PIRES DO RIO - GO","AREIA, MINÉRIO DE OURO","Construção civil, Metalurgia","Sim","01/09/2009"
"Gerência Regional / GO","860519/2002","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO, PIRES DO RIO - GO","AREIA","Construção civil","Sim","14/09/2007"
