"Processo","Titular","Localidade","Guia","Substancia","QuantidadeMinerio","DataPublicacao","Prazo","IndicaProrrogacao"
"804.365/1975","CLEVELAND PREMIER MINERAÇÃO LTDA","CRIXÁS/GO","2","MINÉRIO DE OURO","50.000 toneladas","30/05/2014","20/12/2014","Não"
"804.365/1975","CLEVELAND PREMIER MINERAÇÃO LTDA","CRIXÁS/GO","1","MINÉRIO DE OURO","50.000 toneladas","14/04/2015","10/09/2015","Não"
"860.598/1986","CABECAL- CALCÁRIO DE CABECEIRAS MINERAÇÃO LTDA.","CABECEIRAS/GO","64","calcário dolomítico","20000 t","19/01/2010","19/12/2010","Não"
"830.809/1987","PAULO MOISÉS DE SOUSA E CIA LTDA","COROMANDEL/MG, CATALÃO/GO","153","Diamante (beneficiado)","720 ct/ano","29/08/2018","16/02/2020","Não"
"830.809/1987","PAULO MOISES DE SOUSA E CIA LTDA","COROMANDEL/MG, CATALÃO/GO","468","DIAMANTE (MINÉRIO PRIMÁRIO) (uso: Industrial)","50.000 toneladas/ano com teor de 0,0368ct/t  de DIAMANTE","14/10/2024","3 anos","Não"
"830.810/1987","PAULO MOISÉS DE SOUSA E CIA LTDA","COROMANDEL/MG, CATALÃO/GO","152","Diamante (beneficiado)","575 ct/ano","29/08/2018","12/02/2020","Não"
"861.154/1993","TRITON ENERGIA LTDA","ARENÓPOLIS/GO, IPORÁ/GO","29","AREIA","50.000 toneladas","29/06/2012","15/02/2013","Não"
"860.312/1994","MB CAPITAL TRANSPORTE DE AREIA LTDA","SANTA RITA DO NOVO DESTINO/GO, HIDROLINA/GO","55","areia","10000 t","19/01/2010","05/06/2010","Não"
"830.553/1996","JOAQUIM MENEZES RIBEIRO DA SILVA EPP","ARAGUARI/MG, ANHANGUERA/GO","217","Areia","50.000 toneladas","17/10/2011","02/12/2014","Não"
"830.553/1996","AREIA MENEZES LTDA ME","CUMARI/GO, ARAGUARI/MG","113","Areia (agregado)","50.000 toneladas/ano","07/10/2015","27/01/2019","Não"
"833.696/1996","JOAQUIM MENEZES RIBEIRO DA SILVA EPP","ARAGUARI/MG, ANHANGUERA/GO","100","Areia","50.000 Toneladas/ano","12/06/2012","21/12/2015","Não"
"831.924/1997","AREIA MENEZES LTDA ME","ARAGUARI/MG, CORUMBAÍBA/GO","317","AREIA, CASCALHO e DIAMANTE INDUSTRIAL","50.000 t/ano","28/09/2021","36 meses","Não"
"831.924/1997","JOAQUIM MENEZES RIBEIRO DA SILVA EPP","ARAGUARI/MG, CORUMBAÍBA/GO","4","Areia","50.000 toneladas/ano","01/02/2013","13/09/2016","Não"
"831.925/1997","JOAQUIM MENEZES RIBEIRO DA SILVA EPP","ARAGUARI/MG, CORUMBAÍBA/GO","5","Areia","50.000 toneladas/ano","01/02/2013","11/09/2016","Não"
"831.925/1997","AREAL PARANAIBA LTDA","ARAGUARI/MG, CORUMBAÍBA/GO","253","Areia (construção civil)","50.000 t/ano","15/08/2023","36 meses","Não"
"830.609/1998","JOAQUIM MENEZES RIBEIRO DA SILVA EPP","ARAGUARI/MG, ANHANGUERA/GO","218","Areia","50.000 toneladas","17/10/2011","02/12/2014","Não"
"830.609/1998","AREIA MENEZES LTDA ME","CUMARI/GO, ARAGUARI/MG","25","Areia (agregado)","50.000 toneladas/ano","23/03/2015","27/01/2019","Não"
"830.922/1998","JOAQUIM MENEZES RIBEIRO DA SILVA EPP","ARAGUARI/MG, ANHANGUERA/GO","99","Areia","50.000 toneladas/ano","09/05/2012","08/02/2016","Não"
"860.557/1998","BATISTA E ASSIS LTDA","CRISTALINA/GO","60","AREIA","50.000 toneladas","08/12/2015","03/11/2016","Não"
"860.557/1998","BATISTA E ASSIS LTDA","CRISTALINA/GO","120","Areia","25.000 toneladas","22/12/2011","23/03/2012","Não"
"860.557/1998","BATISTA E ASSIS LTDA","CRISTALINA/GO","45","Areia","14.650 toneladas","21/09/2012","02/10/2013","Não"
"860.619/1998","MG MINERAÇÃO GREEN GOLD LTDA ME","CRISTALINA/GO","62","Areia","20.000 toneladas","27/10/2011","23/04/2012","Não"
"860.619/1998","EDUARDO FERNANDES - PJ","CRISTALINA/GO","15","areia","11.250 ton.","26/03/2010","06/04/2010","Não"
"860.243/1999","COOPEDRAS DE PIRENÓPOLIS LTDA","PIRENÓPOLIS/GO","98","Quartzito","8.000 toneladas","27/10/2011","12/03/2012","Não"
"860.676/1999","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","CUMARI/GO","9","areia","3000 t","19/01/2010","23/11/2010","Não"
"860.782/1999","AREIA BARRA AZUL EXTRAÇÃO E COMERCIO LTDA","CUMARI/GO","4","areia","50000 t","19/01/2010","19/11/2010","Não"
"860.070/2001","AREAL MINAS GOIÁS LTDA","CRISTALINA/GO","100","Areia","30.000 toneladas","22/12/2011","28/09/2012","Não"
"860.171/2001","MINERAÇÃO CORCOVADO DE MINAS LTDA","NOVA ROMA/GO","25","MÁRMORE (rocha ornamental)","9.792 toneladas","06/07/2016","10/05/2017","Não"
"860.233/2001","EDEM EMPRESA DE DESENVOLVIMENTO EM MINERAÇÃO LTDA","PORANGATU/GO","92","Granulito (rocha ornamental)","7.000 toneladas","22/12/2011","31/12/2012","Não"
"860.246/2001","ARQUIMEDES & FIGUEIREDO LTDA","PIRENÓPOLIS/GO","93","Quartzito","8.000 toneladas","27/10/2011","12/03/2012","Não"
"860.494/2002","MINERAÇÂO E TRANSPORTES CORUMBÁ LTDA","CALDAS NOVAS/GO, CORUMBAÍBA/GO","46","AREIA","20.000 toneladas","08/12/2015","18/08/2016","Não"
"860.519/2002","AREIALTO EXTRAÇÃO, COMÉRCIO E TRANSPORTE DE AREIA LTDA","ORIZONA/GO, PIRES DO RIO/GO","90","areia","50000 t","19/01/2010","17/11/2010","Não"
