"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF/CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação"
"Gerência Regional / GO","861909/2010","Requerimento de Registro de Licença","Licenciamento","00.278.143/0001-60","Fornecedora Sobrinho de Areia e Cascalho","LUZIÂNIA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860083/2023","Requerimento de Registro de Licença","Licenciamento","01.179.837/0001-02","CERAMICA SO TIJOLOS SANTO ANTONIO LTDA","PONTALINA - GO","ARGILA","Cerâmica vermelha","Sim"
"Gerência Regional / GO","861398/2016","Requerimento de Registro de Licença","Licenciamento","01.599.729/0001-99","DISTRAN DISTRIBUIDORA INDUSTRIA E TRANSPORTES LTDA","SILVÂNIA - GO","ARGILA","Cerâmica vermelha","Sim"
"Gerência Regional / GO","861107/2024","Requerimento de Registro de Licença","Licenciamento","01.599.729/0001-99","DISTRAN DISTRIBUIDORA INDUSTRIA E TRANSPORTES LTDA","SILVÂNIA - GO","AREIA, ARGILA","Construção civil, Construção civil","Sim"
"Gerência Regional / GO","860556/2020","Requerimento de Registro de Licença","Licenciamento","01.599.729/0001-99","DISTRAN DISTRIBUIDORA INDUSTRIA E TRANSPORTES LTDA","SILVÂNIA - GO","ARGILA","Cerâmica vermelha","Sim"
"Gerência Regional / GO","860529/2006","Requerimento de Registro de Licença","Licenciamento","01.829.378/0001-65","MINERACAO FORTALEZA LTDA","CACHOEIRA ALTA - GO","AREIA, BASALTO","Construção civil, Revestimento","Sim"
"Gerência Regional / GO","860541/2020","Requerimento de Registro de Licença","Licenciamento","02.120.558/0001-36","NUNES ROSA LIMITADA","IPAMERI - GO","ARGILA","Cerâmica vermelha","Sim"
"Gerência Regional / GO","861508/2013","Requerimento de Mudança de Regime para Licenciamento","Licenciamento","02.800.373/0001-72","ENGEBRITA CALCARIO LTDA","FORMOSA - GO","CALCÁRIO","Corretivo de solo","Sim"
"Gerência Regional / GO","860113/2010","Requerimento de Mudança de Regime para Licenciamento","Licenciamento","03.468.881/0001-68","Cerâmica Primavera Ltda ME","TURVÂNIA - GO","ARGILA","Cerâmica vermelha","Sim"
"Gerência Regional / GO","860784/2020","Requerimento de Registro de Licença","Licenciamento","26.613.323/0001-44","MEIRELES MATERIAIS PARA CONSTRUÇÃO LTDA","LUZIÂNIA - GO","CASCALHO","Construção civil","Sim"
