"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF/CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação"
"Gerência Regional / MG","830977/2019","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.696.986-**","Nelson Cesar Resende","ABADIA DOS DOURADOS - MG, DAVINÓPOLIS - GO","DIAMANTE, DIAMANTE","Gema, Industrial","Sim"
"Gerência Regional / MG","831041/2018","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.561.706-**","Cláudio Dornelas Gonçalves ","ABADIA DOS DOURADOS - MG, OUVIDOR - GO","DIAMANTE, DIAMANTE","Gema, Industrial","Sim"
"Gerência Regional / MG","831071/2011","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.835.646-**","MARCIO ERNANE DA COSTA","CATALÃO - GO, COROMANDEL - MG, GUARDA-MOR - MG","DIAMANTE","Gema","Sim"
"Gerência Regional / MG","831610/2014","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.911.556-**","Daniel Caixeta Morais","COROMANDEL - MG, DAVINÓPOLIS - GO","DIAMANTE, DIAMANTE","Gema, Industrial","Sim"
"Gerência Regional / MG","831734/2015","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.798.621-**","MARCOS DELFINO ROSA","CATALÃO - GO, COROMANDEL - MG","DIAMANTE","Gema","Sim"
"Gerência Regional / MG","832364/2014","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.911.556-**","Daniel Caixeta Morais","CATALÃO - GO, COROMANDEL - MG","DIAMANTE, DIAMANTE","Gema, Industrial","Sim"
"Gerência Regional / MG","833144/2012","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.835.646-**","MARCIO ERNANE DA COSTA","CATALÃO - GO, COROMANDEL - MG, GUARDA-MOR - MG","DIAMANTE","Gema","Sim"
"Gerência Regional / MG","833229/2012","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.911.556-**","Daniel Caixeta Morais","CATALÃO - GO, COROMANDEL - MG","DIAMANTE, DIAMANTE","Gema, Industrial","Sim"
"Gerência Regional / GO","860925/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.696.190-**","VANIA RENE BECKER","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860927/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.696.190-**","VANIA RENE BECKER","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860929/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.770.661-**","VALMIRO TOLENTINO DE QUEIROZ","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860938/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","26.725.960/0001-02","Annibal Crosara Junior","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860939/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","26.725.960/0001-02","Annibal Crosara Junior","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860943/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.513.791-**","MARIA HELENA TORRES BATISTA CARRILHO","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860946/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.570.290-**","ELOIR BECKER","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860955/2015","Requerimento de Lavra Garimpeira","Lavra Garimpeira","26.725.960/0001-02","Annibal Crosara Junior","CAMPOS VERDES - GO","ESMERALDA","Gema","Sim"
"Gerência Regional / GO","860956/2015","Requerimento de Lavra Garimpeira","Lavra Garimpeira","26.725.960/0001-02","Annibal Crosara Junior","CAMPOS VERDES - GO","ESMERALDA","Gema","Sim"
"Gerência Regional / GO","860958/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","26.725.960/0001-02","Annibal Crosara Junior","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860974/2014","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.131.601-**","RUBENS MARTINS MOURAO","NIQUELÂNDIA - GO","QUARTZO","Artesanato  mineral","Sim"
"Gerência Regional / GO","861041/2011","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.575.396-**","JOSEFA DE FATIMA DIAS DA SILVA","CAMPOS VERDES - GO","ESMERALDA","Gema","Sim"
"Gerência Regional / GO","861064/2016","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.998.601-**","Jurandir Lauro de Jesus","NIQUELÂNDIA - GO","QUARTZO","Artesanato  mineral","Sim"
"Gerência Regional / GO","861096/2015","Requerimento de Lavra Garimpeira","Lavra Garimpeira","26.725.960/0001-02","Annibal Crosara Junior","CAMPOS VERDES - GO","ESMERALDA","Gema","Sim"
"Gerência Regional / GO","861177/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.930.131-**","Joselita de Brito Escobar","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","861178/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.930.131-**","Joselita de Brito Escobar","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","861180/1991","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.930.131-**","Joselita de Brito Escobar","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","861212/2012","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.612.141-**","WIVIAN AMARAL RIOS","CAMPOS VERDES - GO","ESMERALDA","Gema","Sim"
"Gerência Regional / GO","861213/2012","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.604.761-**","Ademir Martins Costa","CAMPOS VERDES - GO","ESMERALDA","Gema","Sim"
"Gerência Regional / GO","861256/2015","Requerimento de Lavra Garimpeira","Lavra Garimpeira","02.802.569/0001-04","CERAMICA CATALAO EIRELI","CUMARI - GO","DIAMANTE, DIAMANTE","Gema, Industrial","Sim"
"Gerência Regional / GO","861302/2007","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.483.081-**","ADRIANO JOSE DE MOURA SOUSA","NIQUELÂNDIA - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / GO","861370/2015","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.678.811-**","KENIA DIAS BARROSO","ISRAELÂNDIA - GO, MOIPORÁ - GO","DIAMANTE","Industrial","Sim"
"Gerência Regional / GO","861428/2016","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.574.212-**","ELIAS MOREIRA LIMA","JARAGUÁ - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / GO","861487/2013","Requerimento de Lavra Garimpeira","Lavra Garimpeira","***.448.841-**","Thomaz Zuzarte Adorno Neto","CAMPOS VERDES - GO","ESMERALDA","Gema","Sim"
