"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF/CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação"
"Gerência Regional / MG","810833/1968","Requerimento de Autorização de Pesquisa","Concessão de Lavra","33.993.221/0001-67","MINERAÇÃO XINGU LTDA                                                            ","CABECEIRAS - GO, UNAÍ - MG","NIÓBIO, TITÂNIO","Demais substâncias, Demais substâncias","Sim"
"Gerência Regional / MG","860658/1986","Requerimento de Registro de Licença","Concessão de Lavra","02.204.584/0001-42","Sida Sociedade Itumbiarense de Dragagem e Areia Ltda.","CANÁPOLIS - MG, ITUMBIARA - GO","AREIA","Demais substâncias","Sim"
"Gerência Regional / MG","860663/1986","Requerimento de Registro de Licença","Concessão de Lavra","02.204.584/0001-42","Sida Sociedade Itumbiarense de Dragagem e Areia Ltda.","CANÁPOLIS - MG, ITUMBIARA - GO","AREIA","Demais substâncias","Sim"
"Gerência Regional / MG","830553/1996","Requerimento de Autorização de Pesquisa","Concessão de Lavra","45.701.942/0001-35","AREAL PARANAIBA LTDA","ARAGUARI - MG, CUMARI - GO","AREIA","Demais substâncias","Sim"
"Gerência Regional / MG","830922/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","45.701.942/0001-35","AREAL PARANAIBA LTDA","ARAGUARI - MG, CUMARI - GO","AREIA","Demais substâncias","Sim"
"Gerência Regional / MG","830410/2005","Requerimento de Autorização de Pesquisa","Concessão de Lavra","03.765.951/0001-40","Espólio de José Machado Neto Fi","ABADIA DOS DOURADOS - MG, COROMANDEL - MG, DAVINÓPOLIS - GO","DIAMANTE INDUSTRIAL","Industrial","Sim"
"Gerência Regional / MG","860013/2006","Requerimento de Autorização de Pesquisa","Concessão de Lavra","05.695.212/0001-54","MINERAÇÃO & TRANSPORTE NOSSA SENHORA APARECIDA LTDA","SANTA VITÓRIA - MG","AREIA, CASCALHO, DIAMANTE INDUSTRIAL","Construção civil, Construção civil, Industrial","Sim"
"Gerência Regional / MG","830007/2008","Requerimento de Autorização de Pesquisa","Concessão de Lavra","04.693.661/0001-09","Areia São Jose Extração, Comércio e Transporte Ltda Me","ARAGUARI - MG, CORUMBAÍBA - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","001154/1935","Requerimento de Manifesto de Mina","Concessão de Lavra","01.638.832/0001-09","CIA. MELHORAMENTOS DE CALDAS NOVAS","CALDAS NOVAS - GO","ÁGUAS TERMAIS","Demais substâncias","Sim"
"Gerência Regional / GO","001475/1935","Requerimento de Manifesto de Mina","Concessão de Lavra","00.258.657/0001-53","EMPRESA PUBLICA MUNICIPAL EXPLORACAO MINERAL","CALDAS NOVAS - GO","ÁGUA MINERAL","Demais substâncias","Sim"
"Gerência Regional / GO","002286/1935","Requerimento de Manifesto de Mina","Concessão de Lavra","42.445.403/0001-94","MINERACAO SERRA GRANDE S A","CRIXÁS - GO","OURO","Demais substâncias","Sim"
"Gerência Regional / GO","002019/1939","Requerimento de Manifesto de Mina","Concessão de Lavra","48.656.146/0001-16","MINERACAO MACEDO LTDA","NIQUELÂNDIA - GO","COBALTO, COBRE, NÍQUEL","Demais substâncias, Demais substâncias, Demais substâncias","Sim"
"Gerência Regional / GO","000696/1945","Requerimento de Autorização de Pesquisa","Concessão de Lavra","***.903.540-**","JOÃO PEDRO CASQUEIRA CORREDOURA","ITABERAÍ - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","004056/1952","Requerimento de Autorização de Pesquisa","Concessão de Lavra","62.258.884/0001-36","INTERCEMENT BRASIL S/A - EM RECUPERACAO JUDICIAL","CEZARINA - GO","CALCÁRIO","Demais substâncias","Sim"
"Gerência Regional / GO","000647/1959","Requerimento de Autorização de Pesquisa","Concessão de Lavra","60.869.336/0001-17","CSN CIMENTOS BRASIL S.A.","COCALZINHO DE GOIÁS - GO","CALCÁRIO","Demais substâncias","Sim"
"Gerência Regional / GO","001138/1962","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.323.600/0001-90","Empresa Água de Brasília Ltda","BRASÍLIA - DF","ÁGUA MINERAL, ÁGUAS TERMAIS","Demais substâncias, Demais substâncias","Sim"
"Gerência Regional / GO","001230/1962","Requerimento de Autorização de Pesquisa","Concessão de Lavra","60.869.336/0001-17","CSN CIMENTOS BRASIL S.A.","COCALZINHO DE GOIÁS - GO","CALCÁRIO","Demais substâncias","Sim"
"Gerência Regional / GO","003517/1962","Requerimento de Autorização de Pesquisa","Concessão de Lavra","15.104.599/0001-80","SAMA S.A. - MINERACOES ASSOCIADAS EM RECUPERACAO JUDICIAL","MINAÇU - GO","AMIANTO","Demais substâncias","Sim"
"Gerência Regional / GO","008868/1962","Requerimento de Autorização de Pesquisa","Concessão de Lavra","15.104.599/0001-80","SAMA S.A. - MINERACOES ASSOCIADAS EM RECUPERACAO JUDICIAL","MINAÇU - GO","AMIANTO","Demais substâncias","Sim"
"Gerência Regional / GO","000365/1963","Requerimento de Autorização de Pesquisa","Concessão de Lavra","28.844.942/0001-75","AURA-MINERAÇÃO AURIFERA ANICUNS LTDA                                            ","ANICUNS - GO","OURO","Demais substâncias","Sim"
"Gerência Regional / GO","000376/1963","Requerimento de Autorização de Pesquisa","Concessão de Lavra","51.334.345/0001-12","PEDRA PRETA MINERACAO LTDA","SÃO JOÃO D'ALIANÇA - GO","MANGANÊS","Demais substâncias","Sim"
"Gerência Regional / GO","004853/1964","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.048.785/0001-72","INDAIA BRASIL AGUAS MINERAIS LTDA","ANÁPOLIS - GO","ÁGUA MINERAL","Demais substâncias","Sim"
"Gerência Regional / GO","006516/1964","Requerimento de Autorização de Pesquisa","Concessão de Lavra","01.048.735/0001-58","CHRYSTALINO MINERAIS E REFRIGERANTES LTDA","ANÁPOLIS - GO","ÁGUA POTÁVEL DE MESA","Demais substâncias","Sim"
"Gerência Regional / GO","002409/1965","Requerimento de Autorização de Pesquisa","Concessão de Lavra","42.184.226/0019-69","ANGLO AMERICAN NIQUEL BRASIL LTDA","NIQUELÂNDIA - GO","AMIANTO, MICA, NÍQUEL","Demais substâncias, Demais substâncias, Demais substâncias","Sim"
"Gerência Regional / GO","002410/1965","Requerimento de Autorização de Pesquisa","Concessão de Lavra","42.184.226/0019-69","ANGLO AMERICAN NIQUEL BRASIL LTDA","NIQUELÂNDIA - GO","AMIANTO, MICA, NÍQUEL","Demais substâncias, Demais substâncias, Demais substâncias","Sim"
"Gerência Regional / GO","002411/1965","Requerimento de Autorização de Pesquisa","Concessão de Lavra","42.184.226/0019-69","ANGLO AMERICAN NIQUEL BRASIL LTDA","NIQUELÂNDIA - GO","AMIANTO, MICA, NÍQUEL","Demais substâncias, Demais substâncias, Demais substâncias","Sim"
"Gerência Regional / GO","008120/1966","Requerimento de Autorização de Pesquisa","Concessão de Lavra","42.184.226/0019-69","ANGLO AMERICAN NIQUEL BRASIL LTDA","NIQUELÂNDIA - GO","NÍQUEL","Demais substâncias","Sim"
"Gerência Regional / GO","009357/1966","Requerimento de Autorização de Pesquisa","Concessão de Lavra","02.359.156/0001-99","RIO QUENTE MINERACAO LTDA","RIO QUENTE - GO","ÁGUAS TERMAIS","Demais substâncias","Sim"
"Gerência Regional / GO","000490/1967","Requerimento de Autorização de Pesquisa","Concessão de Lavra","42.184.226/0019-69","ANGLO AMERICAN NIQUEL BRASIL LTDA","NIQUELÂNDIA - GO","NÍQUEL","Demais substâncias","Sim"
"Gerência Regional / GO","000491/1967","Requerimento de Autorização de Pesquisa","Concessão de Lavra","42.184.226/0019-69","ANGLO AMERICAN NIQUEL BRASIL LTDA","NIQUELÂNDIA - GO","NÍQUEL","Demais substâncias","Sim"
"Gerência Regional / GO","006706/1967","Requerimento de Autorização de Pesquisa","Concessão de Lavra","62.258.884/0001-36","INTERCEMENT BRASIL S/A - EM RECUPERACAO JUDICIAL","PALMEIRAS DE GOIÁS - GO","CALCÁRIO","Demais substâncias","Sim"
"Gerência Regional / GO","009291/1967","Requerimento de Autorização de Pesquisa","Concessão de Lavra","33.931.486/0014-55","MOSAIC FERTILIZANTES P&K LTDA.","CATALÃO - GO, OUVIDOR - GO","APATITA, BARITA, MINÉRIO DE FERRO, MINÉRIO DE NIÓBIO, VERMICULITA","Industrial, Industrial, Industrial, Industrial, Industrial","Sim"
"Gerência Regional / GO","009965/1967","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.048.785/0001-72","INDAIA BRASIL AGUAS MINERAIS LTDA","FORMOSA - GO","ÁGUA POTÁVEL DE MESA","Demais substâncias","Sim"
"Gerência Regional / GO","010602/1967","Requerimento de Autorização de Pesquisa","Concessão de Lavra","60.869.336/0001-17","CSN CIMENTOS BRASIL S.A.","COCALZINHO DE GOIÁS - GO","CALCÁRIO","Demais substâncias","Sim"
"Gerência Regional / GO","010670/1967","Requerimento de Autorização de Pesquisa","Concessão de Lavra","15.104.599/0001-80","SAMA S.A. - MINERACOES ASSOCIADAS EM RECUPERACAO JUDICIAL","MINAÇU - GO","AMIANTO","Demais substâncias","Sim"
"Gerência Regional / GO","016414/1967","Requerimento de Autorização de Pesquisa","Concessão de Lavra","60.869.336/0001-17","CSN CIMENTOS BRASIL S.A.","COCALZINHO DE GOIÁS - GO","CALCÁRIO","Demais substâncias","Sim"
"Gerência Regional / GO","801244/1968","Requerimento de Autorização de Pesquisa","Concessão de Lavra","26.108.898/0001-00","CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.","CATALÃO - GO, OUVIDOR - GO","BARITA, FOSFATO, NIÓBIO","Demais substâncias, Demais substâncias, Industrial","Sim"
"Gerência Regional / GO","801560/1968","Requerimento de Autorização de Pesquisa","Concessão de Lavra","26.108.898/0001-00","CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.","CATALÃO - GO, OUVIDOR - GO","BARITA, FOSFATO, MINÉRIO DE NIÓBIO","Demais substâncias, Industrial, Industrial","Sim"
"Gerência Regional / GO","801562/1968","Requerimento de Autorização de Pesquisa","Concessão de Lavra","33.931.486/0014-55","MOSAIC FERTILIZANTES P&K LTDA.","OUVIDOR - GO","FOSFATO, MINÉRIO DE FERRO, MINÉRIO DE TITÂNIO, PIROCLORO, TITÂNIO","Demais substâncias, Demais substâncias, Fertilizantes, Industrial, Industrial","Sim"
"Gerência Regional / GO","802424/1968","Requerimento de Autorização de Pesquisa","Concessão de Lavra","62.258.884/0001-36","INTERCEMENT BRASIL S/A - EM RECUPERACAO JUDICIAL","CEZARINA - GO","CALCÁRIO","Demais substâncias","Sim"
"Gerência Regional / GO","804513/1968","Requerimento de Autorização de Pesquisa","Concessão de Lavra","26.108.898/0001-00","CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.","CATALÃO - GO, OUVIDOR - GO","BARITA, FOSFATO, MINÉRIO DE NIÓBIO","Demais substâncias, Industrial, Industrial","Sim"
"Gerência Regional / GO","808745/1968","Requerimento de Autorização de Pesquisa","Concessão de Lavra","42.184.226/0019-69","ANGLO AMERICAN NIQUEL BRASIL LTDA","BARRO ALTO - GO","MINÉRIO DE NÍQUEL","Demais substâncias","Sim"
"Gerência Regional / GO","809011/1968","Requerimento de Autorização de Pesquisa","Concessão de Lavra","60.869.336/0001-17","CSN CIMENTOS BRASIL S.A.","COCALZINHO DE GOIÁS - GO","CALCÁRIO","Demais substâncias","Sim"
