"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF/CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação"
"Gerência Regional / GO","860340/2019","Requerimento de Registro de Extração","Registro de Extração","01.616.520/0001-96","Prefeitura Municipal de Águas Lindas de Goiás","ÁGUAS LINDAS DE GOIÁS - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860230/2019","Requerimento de Registro de Extração","Registro de Extração","01.067.081/0001-00","Prefeitura Municipal de Aruanã","ARUANÃ - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860097/2019","Requerimento de Registro de Extração","Registro de Extração","01.068.030/0001-00","MUNICÍPIO DE SILVÂNIA","SILVÂNIA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860608/2017","Requerimento de Registro de Extração","Registro de Extração","02.385.839/0001-10","PREFEITURA MUNICIPAL DE ORIZONA ","ORIZONA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860861/2016","Requerimento de Registro de Extração","Registro de Extração","01.164.292/0001-60","MUNICIPIO DE CACU","ITARUMÃ - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860860/2016","Requerimento de Registro de Extração","Registro de Extração","01.164.292/0001-60","MUNICIPIO DE CACU","ITARUMÃ - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860844/2016","Requerimento de Registro de Extração","Registro de Extração","37.623.501/0001-34","Prefeitura Municipal de Jesupolis","SÃO FRANCISCO DE GOIÁS - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","861937/2013","Requerimento de Registro de Extração","Registro de Extração","02.295.772/0001-23","Prefeitura Municipal de Goiás","GOIÁS - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860096/2019","Requerimento de Registro de Extração","Registro de Extração","01.068.030/0001-00","MUNICÍPIO DE SILVÂNIA","SILVÂNIA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860723/2018","Requerimento de Registro de Extração","Registro de Extração","01.303.221/0001-00","MUNICIPIO DE GOIANDIRA","GOIANDIRA - GO","SAIBRO","Construção civil","Sim"
"Gerência Regional / GO","860722/2018","Requerimento de Registro de Extração","Registro de Extração","01.303.221/0001-00","MUNICIPIO DE GOIANDIRA","GOIANDIRA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860721/2018","Requerimento de Registro de Extração","Registro de Extração","01.303.221/0001-00","MUNICIPIO DE GOIANDIRA","GOIANDIRA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860596/2018","Requerimento de Registro de Extração","Registro de Extração","02.391.654/0001-19","MUNICIPIO DE SAO MIGUEL DO ARAGUAIA","SÃO MIGUEL DO ARAGUAIA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860432/2018","Requerimento de Registro de Extração","Registro de Extração","01.146.604/0001-03","Itapuranga Prefeitura Municipal","ITAPURANGA - GO","CASCALHO","Construção civil","Sim"
