"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF/CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação"
"Gerência Regional / GO","009965/1967","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.048.785/0001-72","INDAIA BRASIL AGUAS MINERAIS LTDA","FORMOSA - GO","ÁGUA POTÁVEL DE MESA","Demais substâncias","Sim"
"Gerência Regional / GO","861923/1995","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.057.240/0001-22","CIPLAN CIMENTO PLANALTO SA","GUAPÓ - GO","GRANITO","Demais substâncias","Sim"
"Gerência Regional / GO","861058/2002","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.057.240/0001-22","CIPLAN CIMENTO PLANALTO SA","FORMOSA - GO","ARGILA, TURFA","Industrial, Industrial","Sim"
"Gerência Regional / GO","860971/2021","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","00.057.240/0001-22","CIPLAN CIMENTO PLANALTO SA","PLANALTINA - GO","ARGILA","Industrial","Sim"
"Gerência Regional / GO","860805/1998","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.057.240/0001-22","CIPLAN CIMENTO PLANALTO SA","FORMOSA - GO","ARGILA","Demais substâncias","Sim"
"Gerência Regional / GO","860761/2001","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.057.240/0001-22","CIPLAN CIMENTO PLANALTO SA","GUAPÓ - GO","GRANITO","Construção civil","Sim"
"Gerência Regional / GO","860609/2022","Requerimento de Mudança de Regime para Aut. de Pesquisa","Concessão de Lavra","00.057.240/0001-22","CIPLAN CIMENTO PLANALTO SA","PLANALTINA - GO","ARGILA","Construção civil","Sim"
"Gerência Regional / GO","860450/2005","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.097.494/0001-74","CAMPOS AGRICOLA LTDA","FORMOSA - GO","AREIA, SAIBRO","Construção civil, Construção civil","Sim"
"Gerência Regional / GO","860449/2005","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.097.494/0001-74","CAMPOS AGRICOLA LTDA","FORMOSA - GO","AREIA, SAIBRO","Construção civil, Construção civil","Sim"
"Gerência Regional / GO","860448/2005","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.097.494/0001-74","CAMPOS AGRICOLA LTDA","FORMOSA - GO","AREIA, SAIBRO","Construção civil, Construção civil","Sim"
"Gerência Regional / GO","860447/2005","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.097.494/0001-74","CAMPOS AGRICOLA LTDA","FORMOSA - GO","AREIA, SAIBRO","Construção civil, Construção civil","Sim"
"Gerência Regional / GO","860446/2005","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.097.494/0001-74","CAMPOS AGRICOLA LTDA","FORMOSA - GO","AREIA, SAIBRO","Construção civil, Construção civil","Sim"
"Gerência Regional / GO","860445/2005","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.097.494/0001-74","CAMPOS AGRICOLA LTDA","FORMOSA - GO","AREIA, SAIBRO","Construção civil, Construção civil","Sim"
"Gerência Regional / GO","860094/2004","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.097.494/0001-74","CAMPOS AGRICOLA LTDA","FORMOSA - GO","AREIA, SAIBRO","Demais substâncias, Demais substâncias","Sim"
"Gerência Regional / GO","860042/2004","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.097.494/0001-74","CAMPOS AGRICOLA LTDA","FORMOSA - GO","AREIA, SAIBRO","Demais substâncias, Demais substâncias","Sim"
"Gerência Regional / GO","861045/1996","Requerimento de Registro de Licença","Concessão de Lavra","00.097.494/0001-74","CAMPOS AGRICOLA LTDA","FORMOSA - GO","AREIA, QUARTZITO, SAIBRO","Demais substâncias, Demais substâncias, Demais substâncias","Sim"
"Gerência Regional / GO","860971/2005","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.097.494/0001-74","CAMPOS AGRICOLA LTDA","FORMOSA - GO","AREIA, SAIBRO","Construção civil, Construção civil","Sim"
"Gerência Regional / GO","860970/2005","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.097.494/0001-74","CAMPOS AGRICOLA LTDA","FORMOSA - GO","AREIA, SAIBRO","Demais substâncias, Demais substâncias","Sim"
"Gerência Regional / GO","860969/2005","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.097.494/0001-74","CAMPOS AGRICOLA LTDA","FORMOSA - GO","AREIA, SAIBRO","Demais substâncias, Demais substâncias","Sim"
"Gerência Regional / GO","860452/2005","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.097.494/0001-74","CAMPOS AGRICOLA LTDA","FORMOSA - GO","AREIA, SAIBRO","Construção civil, Construção civil","Sim"
"Gerência Regional / GO","860075/2016","Requerimento de Cessão parcial","Concessão de Lavra","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO, PIRES DO RIO - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","760507/1996","Requerimento de Registro de Licença","Concessão de Lavra","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO, PIRES DO RIO - GO","AREIA","Demais substâncias","Sim"
"Gerência Regional / GO","861040/2006","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","URUTAÍ - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860623/2019","Requerimento de Autorização de Pesquisa","Autorização de Pesquisa","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860519/2002","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO, PIRES DO RIO - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860263/2013","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860213/2013","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO","AREIA, DIAMANTE","Construção civil, Industrial","Sim"
"Gerência Regional / GO","860077/2016","Requerimento de Cessão parcial","Concessão de Lavra","00.114.258/0001-19","AREIALTO EXTRACAO COMERCIO E TRANSPORTES DE AREIA LTDA","ORIZONA - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860422/2019","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","MINAÇU - GO","GRAFITA","Industrial","Sim"
"Gerência Regional / GO","860032/2019","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","NIQUELÂNDIA - GO","MINÉRIO DE NÍQUEL","Industrial","Sim"
"Gerência Regional / GO","860031/2019","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","NIQUELÂNDIA - GO","MINÉRIO DE NÍQUEL","Industrial","Sim"
"Gerência Regional / GO","860030/2019","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","NIQUELÂNDIA - GO","MINÉRIO DE NÍQUEL","Industrial","Sim"
"Gerência Regional / GO","860029/2019","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","CAVALCANTE - GO","MINÉRIO DE MANGANÊS","Industrial","Sim"
"Gerência Regional / GO","860028/2019","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","CAVALCANTE - GO","MINÉRIO DE MANGANÊS","Industrial","Sim"
"Gerência Regional / GO","860027/2019","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","CAVALCANTE - GO","MINÉRIO DE MANGANÊS","Industrial","Sim"
"Gerência Regional / GO","860026/2019","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","CAVALCANTE - GO","MINÉRIO DE MANGANÊS","Industrial","Sim"
"Gerência Regional / GO","861483/2016","Requerimento de Autorização de Pesquisa","Concessão de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","BURITIS - MG, FLORES DE GOIÁS - GO, SÍTIO D'ABADIA - GO","MÁRMORE","Revestimento","Sim"
"Gerência Regional / GO","860580/2019","Requerimento de Autorização de Pesquisa","Direito de Requerer a Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","MINAÇU - GO","CALCÁRIO, CALCÁRIO, CALCÁRIO, CALCÁRIO, FOSFATO","Brita, Corretivo de solo, Fabricação de cal, Fabricação de cimento, Fertilizantes","Sim"
