"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF/CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação"
"Gerência Regional / GO","861490/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","FLORES DE GOIÁS - GO, SÍTIO D'ABADIA - GO","MÁRMORE","Revestimento","Sim"
"Gerência Regional / GO","861488/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","FLORES DE GOIÁS - GO, SÍTIO D'ABADIA - GO","MÁRMORE","Revestimento","Sim"
"Gerência Regional / GO","861487/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","FLORES DE GOIÁS - GO, SÍTIO D'ABADIA - GO","MÁRMORE","Revestimento","Sim"
"Gerência Regional / GO","861486/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","FLORES DE GOIÁS - GO","MÁRMORE","Revestimento","Sim"
"Gerência Regional / GO","861485/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","BURITIS - MG, FLORES DE GOIÁS - GO","MÁRMORE","Revestimento","Sim"
"Gerência Regional / GO","861482/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","FLORES DE GOIÁS - GO, SÍTIO D'ABADIA - GO","MÁRMORE","Revestimento","Sim"
"Gerência Regional / GO","861479/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","FLORES DE GOIÁS - GO, SÍTIO D'ABADIA - GO","MÁRMORE","Revestimento","Sim"
"Gerência Regional / GO","861478/2016","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","FLORES DE GOIÁS - GO, SÍTIO D'ABADIA - GO","MÁRMORE","Revestimento","Sim"
"Gerência Regional / GO","861082/2017","Requerimento de Mudança de Regime para Aut. de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","TERESINA DE GOIÁS - GO","QUARTZITO","Revestimento","Sim"
"Gerência Regional / GO","861056/2017","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","MINAÇU - GO","QUARTZITO","Revestimento","Sim"
"Gerência Regional / GO","860403/2018","Requerimento de Autorização de Pesquisa","Requerimento de Lavra","00.264.528/0001-78","GUIDONI BRASIL S/A","MINAÇU - GO","QUARTZITO, QUARTZO","Revestimento, Revestimento","Sim"
