"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF/CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação"
"Gerência Regional / GO","860860/2023","Requerimento de Mudança de Regime para Licenciamento","Requerimento de Licenciamento","00.652.008/0001-32","LEMOS CONSTRUCOES TRANSPORTES AREIA E CASCALHO LTDA","PIRES DO RIO - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","860432/2022","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.805.570/0001-84","SUDARIO & RODOVALHO LTDA.","DAVINÓPOLIS - GO","ARGILA","Cerâmica vermelha","Sim"
"Gerência Regional / GO","860795/2026","Requerimento de Mudança de Regime para Licenciamento","Requerimento de Licenciamento","24.826.331/0001-43","PORTO RICO EXTRACAO DE AREIA LTDA","NIQUELÂNDIA - GO","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / GO","860967/2023","Requerimento de Registro de Licença","Requerimento de Licenciamento","33.310.814/0001-81","CERAMICA PARAISO LTDA","OUVIDOR - GO","ARGILA","Cerâmica vermelha","Sim"
"Gerência Regional / GO","860903/2014","Requerimento de Registro de Licença","Requerimento de Licenciamento","33.310.814/0001-81","CERAMICA PARAISO LTDA","OUVIDOR - GO","ARGILA","Cerâmica vermelha","Sim"
"Gerência Regional / GO","860313/2020","Requerimento de Registro de Licença","Requerimento de Licenciamento","36.829.356/0001-80","CATALANA IND E COM DE ARTEFATOS DE CIMENTO E CONST LTDA","CORUMBAÍBA - GO, CUMARI - GO","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / GO","860545/2025","Requerimento de Registro de Licença","Requerimento de Licenciamento","42.184.226/0019-69","ANGLO AMERICAN NIQUEL BRASIL LTDA","NIQUELÂNDIA - GO","CASCALHO","Brita","Sim"
"Gerência Regional / GO","860544/2025","Requerimento de Registro de Licença","Requerimento de Licenciamento","42.184.226/0019-69","ANGLO AMERICAN NIQUEL BRASIL LTDA","NIQUELÂNDIA - GO","CASCALHO","Brita","Sim"
"Gerência Regional / GO","860549/2025","Requerimento de Registro de Licença","Requerimento de Licenciamento","42.184.226/0019-69","ANGLO AMERICAN NIQUEL BRASIL LTDA","NIQUELÂNDIA - GO","CASCALHO","Brita","Sim"
"Gerência Regional / GO","860548/2025","Requerimento de Registro de Licença","Requerimento de Licenciamento","42.184.226/0019-69","ANGLO AMERICAN NIQUEL BRASIL LTDA","NIQUELÂNDIA - GO","CASCALHO","Brita","Sim"
"Gerência Regional / GO","860547/2025","Requerimento de Registro de Licença","Requerimento de Licenciamento","42.184.226/0019-69","ANGLO AMERICAN NIQUEL BRASIL LTDA","NIQUELÂNDIA - GO","CASCALHO","Brita","Sim"
"Gerência Regional / GO","860070/2020","Requerimento de Registro de Licença","Requerimento de Licenciamento","77.955.532/0001-07","CONSTRUTORA TRIUNFO S/A - EM RECUPERACAO JUDICIAL","CAIAPÔNIA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860031/2020","Requerimento de Registro de Licença","Requerimento de Licenciamento","77.955.532/0001-07","CONSTRUTORA TRIUNFO S/A - EM RECUPERACAO JUDICIAL","BOM JARDIM DE GOIÁS - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","861030/2013","Requerimento de Registro de Licença","Requerimento de Licenciamento","***.744.998-**","ROLF GUSTAVO ROBERTO BAUMGART","PARAÚNA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","861029/2013","Requerimento de Registro de Licença","Requerimento de Licenciamento","***.744.998-**","ROLF GUSTAVO ROBERTO BAUMGART","PARAÚNA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","861032/2013","Requerimento de Registro de Licença","Requerimento de Licenciamento","***.744.998-**","ROLF GUSTAVO ROBERTO BAUMGART","PARAÚNA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860921/2019","Requerimento de Registro de Licença","Requerimento de Licenciamento","***.091.476-**","TULIO BARBOSA GARCIA                                                            ","CHAPADÃO DO CÉU - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860666/2020","Requerimento de Registro de Licença","Requerimento de Licenciamento","04.745.073/0001-63","Calbrax Mineração Ltda","IACIARA - GO","CALCÁRIO CALCÍTICO, CALCÁRIO CALCÍTICO, CALCÁRIO DOLOMÍTICO, CALCÁRIO DOLOMÍTICO","Brita, Brita, Corretivo de solo, Corretivo de solo","Sim"
"Gerência Regional / GO","860655/2014","Requerimento de Mudança de Regime para Licenciamento","Requerimento de Licenciamento","04.745.073/0001-63","Calbrax Mineração Ltda","SÃO DOMINGOS - GO","CALCÁRIO DOLOMÍTICO","Corretivo de solo","Sim"
"Gerência Regional / MG","830323/2019","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","BURITI ALEGRE - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","830322/2019","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","BURITI ALEGRE - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","830321/2019","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","BURITI ALEGRE - GO, CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","830320/2019","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","BURITI ALEGRE - GO, CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","830319/2019","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","BURITI ALEGRE - GO, CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","830318/2019","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","BURITI ALEGRE - GO, CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","830317/2019","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","831954/2018","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","831938/2018","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","831937/2018","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","831936/2018","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","831935/2018","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","831934/2018","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","831933/2018","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","831932/2018","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","831931/2018","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","831930/2018","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","831929/2018","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","831928/2018","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","831927/2018","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","831926/2018","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","831925/2018","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","831924/2018","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","CORUMBAÍBA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","830331/2019","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","ITUMBIARA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","830330/2019","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","ITUMBIARA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / MG","830329/2019","Requerimento de Registro de Licença","Requerimento de Licenciamento","02.176.213/0001-02","Areia Bergamo Araguari Ltda","BURITI ALEGRE - GO, ITUMBIARA - GO, TUPACIGUARA - MG","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
