"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF/CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação"
"Gerência Regional / GO","861381/1992","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.752.171-**","GERALDO LUIZ DO AMARAL                                                          ","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860802/1991","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.843.171-**","DARCI PEREIRA PINTO                                                             ","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860852/1991","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.648.678-**","SERGIO SUEO KANEGAE                                                             ","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","861247/1992","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.504.495-**","JOSÉ GOMES DA SILVA                                                             ","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","861246/1992","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.504.495-**","JOSÉ GOMES DA SILVA                                                             ","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860838/1991","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.974.791-**","Dimas Martins da Costa","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860837/1991","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.974.791-**","Dimas Martins da Costa","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860848/1991","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.974.791-**","Dimas Martins da Costa","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860847/1991","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.974.791-**","Dimas Martins da Costa","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860846/1991","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.974.791-**","Dimas Martins da Costa","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860844/1991","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.974.791-**","Dimas Martins da Costa","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860843/1991","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.974.791-**","Dimas Martins da Costa","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860841/1991","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.974.791-**","Dimas Martins da Costa","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860581/1991","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.974.511-**","JOSÉ FRANCISCO XAVIER                                                           ","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860877/1991","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.166.768-**","PAULO CARDOSO FERREIRA DA SILVA                                                 ","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","861085/1991","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.479.751-**","SALVIO DE MELO PEDROSO                                                          ","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","861084/1991","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.479.751-**","SALVIO DE MELO PEDROSO                                                          ","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860704/1991","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.136.001-**","FRANCISCO PAULO XIMENDES                                                        ","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860332/1994","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.031.871-**","DIMAS ALVES MACHADO                                                             ","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860178/1994","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.031.871-**","DIMAS ALVES MACHADO                                                             ","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","861570/1993","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.031.871-**","DIMAS ALVES MACHADO                                                             ","CAMPOS VERDES - GO","ESMERALDA","Industrial","Sim"
"Gerência Regional / GO","861628/1995","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.653.281-**","Sebastião Rosa de Oliveira","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","860171/1999","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.653.281-**","Sebastião Rosa de Oliveira","CAMPOS VERDES - GO","ESMERALDA","Industrial","Sim"
"Gerência Regional / GO","862178/1995","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.653.281-**","Sebastião Rosa de Oliveira","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
"Gerência Regional / GO","861117/1991","Requerimento de Lavra Garimpeira","Requerimento de Lavra Garimpeira","***.604.761-**","Ademir Martins Costa","CAMPOS VERDES - GO","ESMERALDA","Demais substâncias","Sim"
