"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF/CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação"
"Gerência Regional / GO","860593/2025","Requerimento de Mudança de Regime para Aut. de Pesquisa","Requerimento de Pesquisa","29.159.796/0001-01","PEDREIRA CATHALÃO LTDA","CATALÃO - GO","GRANITO","Brita","Sim"
"Gerência Regional / GO","860335/2025","Requerimento de Cessão parcial","Requerimento de Pesquisa","59.105.472/0001-51","RADIAL MINERAIS LTDA","GOIATUBA - GO","AREIA, CASCALHO, OURO","Construção civil, Construção civil, Industrial","Sim"
"Gerência Regional / GO","860955/1997","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.309.909-**","VALDEREI DOS REIS","PIRANHAS - GO","CASSITERITA","Demais substâncias","Sim"
"Gerência Regional / GO","860276/2024","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","05.861.921/0001-62","KULUENE SERVICOS E CONSULTORIA LTDA","JATAÍ - GO","ARGILA, ARGILA, DIAMANTE, DIAMANTE","Cerâmica vermelha, Gema, Industrial, Industrial","Sim"
"Gerência Regional / GO","860720/2023","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","05.861.921/0001-62","KULUENE SERVICOS E CONSULTORIA LTDA","SERRANÓPOLIS - GO","AREIA, CASCALHO, DIAMANTE, DIAMANTE","Construção civil, Construção civil, Gema, Industrial","Sim"
"Gerência Regional / GO","860748/2024","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","05.861.921/0001-62","KULUENE SERVICOS E CONSULTORIA LTDA","BOM JESUS DE GOIÁS - GO, GOUVELÂNDIA - GO, INACIOLÂNDIA - GO, QUIRINÓPOLIS - GO","AREIA, CASCALHO, DIAMANTE, DIAMANTE","Construção civil, Construção civil, Gema, Industrial","Sim"
"Gerência Regional / GO","860943/2025","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","05.861.921/0001-62","KULUENE SERVICOS E CONSULTORIA LTDA","FAINA - GO, MATRINCHÃ - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / MG","830048/2020","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","05.861.921/0001-62","KULUENE SERVICOS E CONSULTORIA LTDA","ABADIA DOS DOURADOS - MG, DOURADOQUARA - MG, TRÊS RANCHOS - GO","DIAMANTE, DIAMANTE","Gema, Industrial","Sim"
"Gerência Regional / GO","860212/2022","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.886.967-**","DELIO NUNES DE JESUS","JARAGUÁ - GO","AREIA, CASCALHO, MINÉRIO DE OURO","Construção civil, Construção civil, Industrial","Sim"
"Gerência Regional / GO","860252/2022","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.886.967-**","DELIO NUNES DE JESUS","MORRO AGUDO DE GOIÁS - GO","AREIA, MINÉRIO DE OURO","Construção civil, Industrial","Sim"
"Gerência Regional / GO","860396/1993","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.993.018-**","IRMA LOUREIRO VALENTE                                                           ","RIO QUENTE - GO","ÁGUA MINERAL","Demais substâncias","Sim"
"Gerência Regional / GO","860738/2026","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","***.323.386-**","IVAN GARCIA PIRES","MARZAGÃO - GO","MINÉRIO DE OURO","Industrial","Sim"
"Gerência Regional / GO","860765/2026","Requerimento de Autorização de Pesquisa","Requerimento de Pesquisa","37.234.191/0001-66","JK AGRONEGOCIOS LTDA","COLINAS DO SUL - GO","MINÉRIO DE FERRO","Industrial","Sim"
