"Superintendência","Processo","Tipo de requerimento","Fase Atual","CPF/CNPJ do titular","Titular","Municipio(s)","Substância(s)","Tipo(s) de Uso","Situação"
"Gerência Regional / GO","860291/2018","Requerimento de Registro de Extração","Requerimento de Registro de Extração","01.740.489/0001-09","MUNICIPIO DE SITIO D'ABADIA ","SÍTIO D'ABADIA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860447/2016","Requerimento de Registro de Extração","Requerimento de Registro de Extração","25.141.318/0001-13","Municipio de Faina ","FAINA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860016/2018","Requerimento de Registro de Extração","Requerimento de Registro de Extração","01.303.221/0001-00","MUNICIPIO DE GOIANDIRA","GOIANDIRA - GO","CASCALHO","Brita","Sim"
"Gerência Regional / GO","860367/2018","Requerimento de Registro de Extração","Requerimento de Registro de Extração","01.740.448/0001-04","PREFEITURA MUNICIPAL DE IACIARA ","POSSE - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860311/2024","Requerimento de Registro de Extração","Requerimento de Registro de Extração","01.740.497/0001-47","MUNICIPIO DE FLORES DE GOIAS","FLORES DE GOIÁS - GO","LATERITA","Construção civil","Sim"
"Gerência Regional / GO","860977/2025","Requerimento de Registro de Extração","Requerimento de Registro de Extração","02.186.757/0001-47","MUNICIPIO DE ITAJA","ITAJÁ - GO","AREIA","Construção civil","Sim"
"Gerência Regional / GO","861261/2010","Requerimento de Registro de Extração","Requerimento de Registro de Extração","01.146.604/0001-03","Itapuranga Prefeitura Municipal","ITAPURANGA - GO","CASCALHO, LATERITA","Construção civil, Construção civil","Sim"
"Gerência Regional / GO","860942/2023","Requerimento de Registro de Extração","Requerimento de Registro de Extração","02.262.236/0001-21","MUNICIPIO DE CAMPESTRE DE GOIAS","CAMPESTRE DE GOIÁS - GO","ARGILA","Construção civil","Sim"
"Gerência Regional / GO","860122/2018","Requerimento de Registro de Extração","Requerimento de Registro de Extração","01.146.604/0001-03","Itapuranga Prefeitura Municipal","ITAPURANGA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860079/2018","Requerimento de Registro de Extração","Requerimento de Registro de Extração","37.275.849/0001-88","PREFEITURA MUNICIPAL DE CASTELÂNDIA","CASTELÂNDIA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860778/2026","Requerimento de Registro de Extração","Requerimento de Registro de Extração","01.763.614/0001-98","MUNICIPIO DE CAMPO ALEGRE DE GOIAS","CAMPO ALEGRE DE GOIÁS - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860146/2018","Requerimento de Registro de Extração","Requerimento de Registro de Extração","01.373.497/0001-56","MUNICIPIO DE GUAPÓ","GUAPÓ - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860015/2018","Requerimento de Registro de Extração","Requerimento de Registro de Extração","01.303.221/0001-00","MUNICIPIO DE GOIANDIRA","GOIANDIRA - GO","CASCALHO","Brita","Sim"
"Gerência Regional / GO","860448/2016","Requerimento de Registro de Extração","Requerimento de Registro de Extração","25.141.318/0001-13","Municipio de Faina ","FAINA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860676/2017","Requerimento de Registro de Extração","Requerimento de Registro de Extração","01.173.053/0001-77","PREFEITURA MUNICIPAL DE ÁGUA LIMPA","ÁGUA LIMPA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860524/2022","Requerimento de Registro de Extração","Requerimento de Registro de Extração","01.345.537/0001-56","MUNICIPIO DE ALOANDIA","ALOÂNDIA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860313/2024","Requerimento de Registro de Extração","Requerimento de Registro de Extração","01.740.497/0001-47","MUNICIPIO DE FLORES DE GOIAS","FLORES DE GOIÁS - GO","LATERITA","Construção civil","Sim"
"Gerência Regional / GO","860663/2022","Requerimento de Registro de Extração","Requerimento de Registro de Extração","02.186.757/0001-47","MUNICIPIO DE ITAJA","ITAJÁ - GO","AREIA, CASCALHO","Construção civil, Construção civil","Sim"
"Gerência Regional / GO","860036/2018","Requerimento de Registro de Extração","Requerimento de Registro de Extração","02.316.537/0001-90","Prefeitura Municipal de Mineiros","MINEIROS - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860645/2020","Requerimento de Registro de Extração","Requerimento de Registro de Extração","01.303.221/0001-00","MUNICIPIO DE GOIANDIRA","GOIANDIRA - GO","SAIBRO","Construção civil","Sim"
"Gerência Regional / GO","860980/2022","Requerimento de Registro de Extração","Requerimento de Registro de Extração","01.127.430/0001-31","MUNICIPIO DE ANHANGUERA","ANHANGUERA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860564/2025","Requerimento de Registro de Extração","Requerimento de Registro de Extração","02.164.820/0001-44","MUNICIPIO DE CACHOEIRA DE GOIAS","CACHOEIRA DE GOIÁS - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","861195/2024","Requerimento de Registro de Extração","Requerimento de Registro de Extração","00.079.806/0001-17","MUNICIPIO DE CACHOEIRA DOURADA","CACHOEIRA DOURADA - GO","CASCALHO","Construção civil","Sim"
"Gerência Regional / GO","860574/2018","Requerimento de Registro de Extração","Requerimento de Registro de Extração","01.126.143/0001-07","Município de Campos Belos","CAMPOS BELOS - GO","CASCALHO","Construção civil","Sim"
