"Localidade";"Variável";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"ESTADO DE GOIÁS";"Produção de Calcário para Rações (t)";"";"32.114";"44.520";"47.846";"45.429";"51.015";"326.727";"227.403";"356.719";"145.396";"391.154";"41.181";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Cascalho ()";"";"25.890";"16.306";"107.876";"13.777";"67.373";"114.223";"206.157";"165.318";"241.944";"422.972";"115.074";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Caulim (t)";"";"7.975";"-";"-";"-";"-";"";"";"9.620";"9.620";"5.700";"894";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Caulim para Cerâmica Branca (t)";"";"-";"8.206";"7.727";"10.851";"14.746";"9.485";"8.137";"15.836";"11.015";"";"";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Cobalto (t)";"";"949";"2.725";"3.026";"2.498";"3.074";"6.786";"3.122";"3.239";"3.865";"6.125";"853";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Cobre (t)";"";"4.490";"60.936";"67.665";"252.849";"73.424";"80.824";"75.055";"62.802";"65.574";"63.985";"53.000";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Diamante (ct)";"";"213";"203";"372";"241";"387";"121";"";"46";"46";"11";"166";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Esmeralda (kg)";"";"6.726";"8.276";"10.230";"6.571";"218";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Ferro para Cimento (t)";"";"31.292";"18.751";"-";"-";"-";"";"";"21.000";"21.000";"30.018";"16.000";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Filito (t)";"";"3.600";"1.543";"-";"-";"-";"6.000";"4.000";"4.000";"30.587";"500";"1.557";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Fosfato (t)";"";"2.312.562";"2.118.140";"1.309.737";"2.278.179";"2.574.152";"2.061.134";"2.049.546";"3.484.689";"2.425.709";"2.316.566";"2.277.807";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Manganês (t)";"";"-";"2.900";"1.200";"129.733";"16.130";"18.519";"1.162";"657";"1.990";"";"";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Nióbio (t)";"";"7.317";"4.702";"4.618";"4.610";"6.226";"10.968";"13.037";"12.464";"12.773";"12.740";"15.022";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Níquel (t)";"";"31.717";"33.397";"45.013";"38.190";"40.451";"48.766";"65.178";"67.760";"75.956";"48.800";"50.615";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Calcário para Rações (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Cascalho ()";"";"";"";"";"824";"2.500";"";"2.500";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Caulim (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Caulim para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Cobalto (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Cobre (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Diamante (ct)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Esmeralda (kg)";"";"-";"-";"-";"-";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Ferro para Cimento (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Filito (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Fosfato (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Manganês (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Nióbio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
