aba,status_aba,campo,contrato_de_dados,descricao,unidade_ou_dominio,fonte_ou_derivacao,tipo,pct_vazio,n_distintos,exemplo,observacao
01_dim_minerais,real,mineral_id,sim,"Identificador estável do mineral. Atribuído por ordenação (classe, nome) sobre as 57 categorias oficiais da ANM + subitens justificados; nunca por hash do nome. Para rochas, a categoria depende do tipo de uso declarado (ver 01c).",MIN_### (3 dígitos),Derivado — 01_dim_minerais / crosswalk 01b,texto,0.0,67,MIN_001,
01_dim_minerais,real,mineral_name,sim,Nome padronizado do mineral (campo fixado no Contrato de Dados).,texto,01_dim_minerais,texto,0.0,67,Carvão Mineral,renomeada de 'mineral_nome_padronizado' na v6
01_dim_minerais,real,classe_substancia,,Classe da substância segundo a ANM.,Energéticos; Gemas e Diamantes; Metálicos; Não-Metálicos,ANM AMB / definição da dimensão,texto,0.0,4,Energéticos,
01_dim_minerais,real,mineral_grupo_pai,,mineral_id do mineral-pai quando o item é subtipo (ex.: Calcário Calcítico → Calcário).,MIN_### ou vazio,Derivado,texto,95.5,1,MIN_038,
01_dim_minerais,real,categoria_agregada_anm,,"VERDADEIRO quando o nome é uma categoria composta da própria ANM (ex.: 'Dolomito e Magnesita'), que não pode ser desagregada.",booleano,ANM AMB,booleano,0.0,2,False,
01_dim_minerais,real,status_producao_go,,"Evidência de produção em Goiás, CALCULADA: confirmada = há produção ANM ou CFEM em GO; exploracao = só título minerário; sem_titulo_ou_producao_go = categoria nacional sem ocorrência em GO.",sem_titulo_ou_producao_go; confirmada; exploracao,Derivado — AMB + CFEM + Cadastro Mineiro + SIGMINE,texto,0.0,3,sem_titulo_ou_producao_go,
01_dim_minerais,real,observacao,,"Decisões do pente fino para o mineral (fusões, ambiguidades, categorias oficiais).",texto livre,—,texto,16.4,52,Categoria oficial nacional; sem ocorrência em GO nas bases a,
01_dim_minerais,real,source_ids,sim,"Fontes em que o mineral aparece: AMB (produção), CFEM, Cadastro Mineiro e SIGMINE (aba 09) e RECMIN (aba 06). Categoria oficial sem dado em nenhuma fonte cita o AMB, de onde vem a lista de categorias.",SRC_* separados por ';' (IDs da aba 07),Governança,texto,0.0,18,SRC_ANM_PROD_BRUTA; SRC_ANM_PROD_BENEF,
01_dim_minerais,real,source_url,,"URL de cada fonte da linha, na mesma ordem de source_ids (igual a url_recurso da 07).",URL,07_dim_fontes,texto,0.0,18,https://dadosabertos.anm.gov.br/AMB/Producao_Bruta.csv; http,
01_dim_minerais,real,data_acesso,,"Data do arquivo local de cada fonte, na mesma ordem de source_ids (igual a data_arquivo_local da 07).",AAAA-MM-DD,07_dim_fontes,texto,0.0,11,2026-09-10; 2026-09-10,
01_dim_minerais,real,periodo_referencia,,"Período coberto por cada fonte da linha (da 07), na mesma ordem de source_ids.",AAAA ou AAAA-MM,fonte da linha,texto,0.0,17,2010–2025; 2010–2025,
01_dim_minerais,real,tipo_fonte,,"Tipo das fontes da linha (oficial, companhia, setorial, imprensa ou derivada), como na 07.",oficial,—,texto,0.0,1,oficial,
01_dim_minerais,real,valor_observado_estimado,,calculado: gerado pelo pipeline; o método está em metodo_estimacao.,calculado,Governança,texto,0.0,1,calculado,
01_dim_minerais,real,metodo_estimacao,,Método quando o valor não é observado; vazio nas linhas observadas.,texto,Governança,texto,0.0,1,Padronização: cada grafia das fontes vira uma categoria da A,
01_dim_minerais,real,status_validacao,,valido: passou nas checagens automáticas da 14b.,valido,Governança,texto,0.0,1,valido,
01_dim_minerais,real,responsavel_validacao,,"Quem validou: as checagens automáticas do pipeline, registradas na 14b.",texto,Governança,texto,0.0,1,Squad 1 / Estudante 1 — checagens automáticas do pipeline (v,
01b_crosswalk_pente_fino,auditoria,fonte,,Base e recorte de onde veio o valor bruto.,SIGMINE(GO); ANM_Producao_Beneficiada(GO); ANM_Producao_Bruta(GO); CFEM(GO); Cadastro_Mineiro(GO),—,texto,0.0,5,SIGMINE(GO),
01b_crosswalk_pente_fino,auditoria,valor_original,,Valor exatamente como aparece na fonte.,texto,fonte da linha,texto,0.0,173,DADO NÃO CADASTRADO,renomeada de 'valor_original (bruto na fonte)' na v6
01b_crosswalk_pente_fino,auditoria,valor_normalizado,,"Valor após normalização (maiúsculas, sem acento, sufixo de UF tratado).",texto,Derivado,texto,0.0,156,DADO NAO CADASTRADO,renomeada de 'valor_normalizado (sem acento/maiúsculo)' na v6
01b_crosswalk_pente_fino,auditoria,contagem,,Ocorrências do valor bruto na fonte.,contagem,fonte da linha,inteiro,0.0,134,382,
01b_crosswalk_pente_fino,auditoria,atribuido_a,,"ID (e nome) canônico ao qual o valor foi atribuído, ou o motivo da exclusão.",texto,Derivado,texto,0.0,60,(excluído — não é substância),renomeada de 'mineral_id / nome atribuído' na v6
01b_crosswalk_pente_fino,auditoria,tipo_correspondencia,,"Como a correspondência foi feita, ou o achado do pente fino.",excluido_nao_mineral; identico; fusao_minerio_forma_pura; fusao_mineralogica_ou_grupo; rocha_categoria_pelo_tipo_de_uso_ver_01c,Derivado,texto,0.0,5,excluido_nao_mineral,renomeada de 'tipo_correspondência' na v6
01c_rochas_por_tipo_de_uso,auditoria,substancia,,"Rocha, com o nome normalizado (maiúsculas, sem acento).",texto,Cadastro Mineiro / SIGMINE / CFEM,texto,0.0,28,ANFIBOLITO,
01c_rochas_por_tipo_de_uso,auditoria,fonte,,Base e recorte de onde veio o valor bruto.,Cadastro Mineiro (GO); SIGMINE (GO); CFEM (GO),—,texto,0.0,3,Cadastro Mineiro (GO),
01c_rochas_por_tipo_de_uso,auditoria,tipo_de_uso,,Tipo de uso que decidiu a categoria (normalizado).,,Cadastro Mineiro (Tipo(s) de Uso) / SIGMINE (USO),texto,0.0,16,REVESTIMENTO,
01c_rochas_por_tipo_de_uso,auditoria,origem_do_uso,,"De onde veio o uso: declarado no título, campo USO do SIGMINE, número do processo (para a CFEM) ou uso majoritário da rocha em GO.",declarado no título; campo USO do SIGMINE; Cadastro Mineiro (processo + substância); uso majoritário da rocha em GO; SIGMINE (processo + substância),Derivado — regra da 01c,texto,0.0,5,declarado no título,
