intensity_id,mineral_id,mineral_name,company_id,empresa,operation_id,processos_anm,operacao,municipio,nivel,tecnologia,rota_tecnologica,tecnologia_status,ramo_atividade_ccee,project_id,produto,production_basis,producao_valor,producao_unidade,production_t,ano_producao,energy_mwh,ano_energia,cargas_ccee,energy_intensity_mwh_t,unidade,intensidade_valor,intensidade_unidade,natureza_dado,valor_observado_estimado,natureza_energia,natureza_producao,compatibilidade_temporal,confianca,year,periodo_referencia,source_id,source_url,fonte_producao,fonte_producao_url,tipo_fonte,data_acesso,metodo_estimacao,erro_estimativa_intervalo,checagem_ccee_bruta,status_validacao,responsavel_validacao,usar_no_motor,observacao,versao_base
INT_001,MIN_022,Níquel,COM_CNPJ_42184226,Anglo American Níquel,AGG_COM_CNPJ_42184226_NI,960146/2003; 960795/1982,Barro Alto + Codemin (Niquelândia),Barro Alto; Niquelândia,operacao_empresa,metalurgia_forno_eletrico_ferroniquel,Metalurgia: forno elétrico reduzindo laterita a ferroníquel,"texto do Panorama Mineração Goiás (Squad 1), seção de coeficientes energéticos",METALURGIA E PRODUTOS DE METAL,,Níquel contido em ferroníquel,conteudo_mineral,39700.0,t Ni,39700.0,2025,1788502.568,2025,ANGLO AMERICAN BARRO; ANGLO AMERICAN (CODE,45.050443,MWh/t,45.0504,MWh/t,calculado,calculado,observado,declarado_empresa,mesmo_ano,alta,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_EMPRESA_RELATORIO,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo,Anglo American — Q4 2025 Production Report,https://www.angloamerican.com/investors/results-and-presentations,oficial; companhia,2026-09-21,,,"jun–dez/2025 no arquivo bruto: 1,041,682 MWh em 7 meses; anualizado 1,785,741 MWh (-0.2% contra os 12 meses do painel)",calculado_conferido_com_painel,Squad 2 / Estudante 2 — Sarah Lattouf,não — as linhas por planta (unidade consumidora) somam a mesma energia,"Barro Alto 32.400 t + Codemin 7.300 t; 2,47 Mt de minério a 1,46% Ni",v1
INT_002,MIN_022,Níquel,COM_CNPJ_42184226,Anglo American Níquel,OPE_960146_2003,960146/2003,Barro Alto,Barro Alto,unidade_consumidora,metalurgia_forno_eletrico_ferroniquel,Metalurgia: forno elétrico reduzindo laterita a ferroníquel,"texto do Panorama Mineração Goiás (Squad 1), seção de coeficientes energéticos",METALURGIA E PRODUTOS DE METAL,,Níquel contido em ferroníquel,conteudo_mineral,32400.0,t Ni,32400.0,2025,1456413.654,2025,ANGLO AMERICAN BARRO,44.951039,MWh/t,44.951039,MWh/t,calculado,calculado,observado,declarado_empresa,mesmo_ano,alta,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_EMPRESA_RELATORIO,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo,Anglo American — Q4 2025 Production Report,https://www.angloamerican.com/investors/results-and-presentations,oficial; companhia,2026-09-21,,,"jun–dez/2025 no arquivo bruto: 845,101 MWh em 7 meses; anualizado 1,448,744 MWh (-0.5% contra os 12 meses do painel)",calculado,Squad 2 / Estudante 2 — Sarah Lattouf,sim,produção por planta do mesmo relatório da Anglo American,v1
INT_003,MIN_022,Níquel,COM_CNPJ_42184226,Anglo American Níquel,,960795/1982,Codemin (Niquelândia),Niquelândia,unidade_consumidora,metalurgia_forno_eletrico_ferroniquel,Metalurgia: forno elétrico reduzindo laterita a ferroníquel,"texto do Panorama Mineração Goiás (Squad 1), seção de coeficientes energéticos",METALURGIA E PRODUTOS DE METAL,,Níquel contido em ferroníquel,conteudo_mineral,7300.0,t Ni,7300.0,2025,332088.914,2025,ANGLO AMERICAN (CODE,45.491632,MWh/t,45.491632,MWh/t,calculado,calculado,observado,declarado_empresa,mesmo_ano,alta,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_EMPRESA_RELATORIO,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo,Anglo American — Q4 2025 Production Report,https://www.angloamerican.com/investors/results-and-presentations,oficial; companhia,2026-09-21,,,"jun–dez/2025 no arquivo bruto: 196,581 MWh em 7 meses; anualizado 336,997 MWh (+1.5% contra os 12 meses do painel)",calculado,Squad 2 / Estudante 2 — Sarah Lattouf,sim,Codemin sem operation_id na aba 12 (processo sem poligonal no SIGMINE); produção por planta do mesmo relatório da Anglo American,v1
INT_004,MIN_011,Cobre,COM_CNPJ_86902053,Mineração Maracá (Lundin),OPE_808923_1974,808923/1974; 860273/2003,"Mina Chapada, Alto Horizonte",Alto Horizonte,operacao_empresa,flotacao_concentrado,Concentra por flotação e embarca o concentrado (sem metalurgia local),"texto do Panorama Mineração Goiás (Squad 1), seção de coeficientes energéticos",EXTRAÇÃO DE MINERAIS METÁLICOS,,Cobre contido em concentrado,conteudo_mineral,43974.0,t Cu,43974.0,2025,356534.522,2025,MARACA MINERACAO; MARACÁ MINERAÇÃO - A,8.107848,MWh/t,8.1078,MWh/t,calculado,calculado,observado,declarado_empresa,mesmo_ano,alta,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_EMPRESA_RELATORIO,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo,Lundin Mining — 2025 Production Results and 2026 Guidance,https://lundinmining.com/news/lundin-mining-announces-2025-production-results-an-123226/,oficial; companhia,2026-09-21,,,"jun–dez/2025 no arquivo bruto: 214,272 MWh em 7 meses; anualizado 367,323 MWh (+3.0% contra os 12 meses do painel)",calculado_conferido_com_painel,Squad 2 / Estudante 2 — Sarah Lattouf,sim,mais 61.331 oz de ouro como subproduto no mesmo concentrado,v1
INT_005,MIN_021,Nióbio,COM_CNPJ_26108898,CMOC Brasil,OPE_803343_1973,803343/1973; 801244/1968; 860402/2001; 804513/1968; 801560/1968,Boa Vista (Ouvidor) + Catalão,Catalão; Ouvidor,operacao_empresa,nao_levantada_v1,,rota não levantada nesta versão: sem fonte documental; ver ramo_atividade_ccee,EXTRAÇÃO DE MINERAIS METÁLICOS; METALURGIA E PRODUTOS DE METAL; MINERAIS NÃO-METÁLICOS,,Nióbio,produto,10348.0,t Nb,10348.0,2025,293016.456,2025,CMOC BRASIL - NIOBIO; CMOC NIOBIO - UC 218; NIOBIO MINA CATALAO; TAILINGS; COPEBRAS OUVIDOR,28.31624,MWh/t,28.3162,MWh/t,calculado,calculado,observado,declarado_empresa,mesmo_ano,média,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_EMPRESA_RELATORIO,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo,Revista Mineração / CMOC Brasil,https://revistamineracao.com.br/2025/09/01/cmoc-registra-volume-recorde-de-producao-de-niobio-no-1s25/,oficial; imprensa,2026-09-21,,,"jun–dez/2025 no arquivo bruto: 167,907 MWh em 7 meses; anualizado 287,841 MWh (-1.8% contra os 12 meses do painel)",calculado_conferido_com_painel,Squad 2 / Estudante 2 — Sarah Lattouf,"não — base 'produto' fora do vocabulário do motor (rom, beneficiada, conteudo_mineral)","recorde da companhia; a mesma energia também atende à planta de fosfato de Catalão; teto: toda a energia do CNPJ (inclusive a carga Copebrás, de fosfato) atribuída ao nióbio",v1
INT_006,MIN_021,Nióbio,COM_CNPJ_26108898,CMOC Brasil,OPE_803343_1973,803343/1973; 801244/1968; 860402/2001; 804513/1968; 801560/1968,Boa Vista (Ouvidor) + Catalão — só cargas de nióbio,Catalão; Ouvidor,unidade_consumidora,nao_levantada_v1,,rota não levantada nesta versão: sem fonte documental; ver ramo_atividade_ccee,EXTRAÇÃO DE MINERAIS METÁLICOS; METALURGIA E PRODUTOS DE METAL,,Nióbio,produto,10348.0,t Nb,10348.0,2025,108259.462,2025,CMOC BRASIL - NIOBIO; CMOC NIOBIO - UC 218; NIOBIO MINA CATALAO,10.461873,MWh/t,10.461873,MWh/t,calculado,calculado,observado,declarado_empresa,mesmo_ano,média,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_EMPRESA_RELATORIO,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo,Revista Mineração / CMOC Brasil,https://revistamineracao.com.br/2025/09/01/cmoc-registra-volume-recorde-de-producao-de-niobio-no-1s25/,oficial; imprensa,2026-09-21,,,"jun–dez/2025 no arquivo bruto: 63,733 MWh em 7 meses; anualizado 109,256 MWh (+0.9% contra os 12 meses do painel)",calculado,Squad 2 / Estudante 2 — Sarah Lattouf,"não — base 'produto' fora do vocabulário do motor (rom, beneficiada, conteudo_mineral)","exclui COPEBRAS OUVIDOR (fosfato, 170995 MWh) e TAILINGS (rejeitos, 13762 MWh); pareamento carga→produto pela sigla e pelo ramo da CCEE",v1
INT_007,MIN_049,Fosfato,COM_CNPJ_33931486,Mosaic Fertilizantes,OPE_801562_1968,801562/1968; 9291/1967,Complexo de Catalão,Catalão,operacao_empresa,nao_levantada_v1,,rota não levantada nesta versão: sem fonte documental; ver ramo_atividade_ccee,MINERAIS NÃO-METÁLICOS,,Rocha fosfática,capacidade,1050000.0,t,1050000.0,2025,133484.837,2025,MOSAIC FERTILIZANTES,0.127128,MWh/t,0.1271,MWh/t,estimado,estimado,observado,capacidade_declarada,mesmo_ano,baixa,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_EMPRESA_RELATORIO,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo,Mosaic / Minera Brasil,https://minerabrasil.com.br/mosaic-amplia-producao-de-fertilizantes-fosfatados-em-catalao/2025/01/31/,oficial; imprensa,2026-09-21,"denominador = capacidade declarada, não produção medida do ano",,"jun–dez/2025 no arquivo bruto: 77,311 MWh em 7 meses; anualizado 132,533 MWh (-0.7% contra os 12 meses do painel)",calculado_conferido_com_painel,Squad 2 / Estudante 2 — Sarah Lattouf,"não — base 'capacidade' fora do vocabulário do motor (rom, beneficiada, conteudo_mineral)","capacidade declarada de 1,0 a 1,1 Mt/ano; produção efetiva não publicada por unidade",v1
INT_008,MIN_023,Ouro,COM_CNPJ_42445403,Mineração Serra Grande,,960658/1987,Crixás (vendida à Aura em dez/2025),Crixás,operacao_empresa,nao_levantada_v1,,rota não levantada nesta versão: sem fonte documental; ver ramo_atividade_ccee,EXTRAÇÃO DE MINERAIS METÁLICOS,,Ouro,conteudo_mineral,2488.2781,kg Au,2.488278,2024,114441.986,2025,MSG MIN. SERRA GRAND,45992.441922,MWh/t,45.9924,MWh/kg,calculado,calculado,observado,declarado_empresa,"anos_diferentes (produção 2024, energia 2025)",baixa,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_EMPRESA_RELATORIO,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo,AngloGold Ashanti / Brasil Mineral,https://www.brasilmineral.com.br/maiores/mineracaoserragrande,oficial; imprensa,2026-09-21,,,"jun–dez/2025 no arquivo bruto: 66,763 MWh em 7 meses; anualizado 114,450 MWh (+0.0% contra os 12 meses do painel)",calculado_conferido_com_painel,Squad 2 / Estudante 2 — Sarah Lattouf,não — produção e energia de anos diferentes,80 mil oz em 2024; o número de 2025 não foi publicado na troca de controle,v1
INT_009,MIN_023,Ouro,COM_CNPJ_42799486,Amarillo Mineração (Hochschild),OPE_861241_1980,861241/1980; 862000/1984; 860952/1980,Mara Rosa — mina Posse,Mara Rosa,operacao_empresa,nao_levantada_v1,,rota não levantada nesta versão: sem fonte documental; ver ramo_atividade_ccee,EXTRAÇÃO DE MINERAIS METÁLICOS,,Ouro,conteudo_mineral,1242.8949,kg Au,1.242895,2025,82715.015,2025,Hochschild Amarillo,66550.289168,MWh/t,66.5503,MWh/kg,calculado,calculado,observado,declarado_empresa,mesmo_ano,alta,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_EMPRESA_RELATORIO,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo,"Hochschild Mining — Production Report, 12 meses até 31/12/2025",https://www.hochschildmining.com/media/xfpdwhfn/1b_q4-2025.pdf,oficial; companhia,2026-09-21,,,"jun–dez/2025 no arquivo bruto: 39,065 MWh em 7 meses; anualizado 66,969 MWh (-19.0% contra os 12 meses do painel)",calculado_conferido_com_painel,Squad 2 / Estudante 2 — Sarah Lattouf,sim,"1.424.031 t de minério a 0,96 g/t; ano de ramp-up com parada de 4 semanas",v1
INT_010,MIN_033,Amianto,COM_CNPJ_15104599,SAMA Minerações Associadas,OPE_850037_1975,850037/1975,"Mina Cana Brava, Minaçu",Minaçu,operacao_empresa,nao_levantada_v1,,rota não levantada nesta versão: sem fonte documental; ver ramo_atividade_ccee,MINERAIS NÃO-METÁLICOS,,Amianto crisotila,produto,167000.0,t,167000.0,2024,55716.005,2025,SAMA-MINACU-GO,0.333629,MWh/t,0.3336,MWh/t,calculado,calculado,observado,declarado_empresa,"anos_diferentes (produção 2024, energia 2025)",média,2025,2025,SRC_CCEE_PARCELA_CARGA; SRC_EMPRESA_RELATORIO,https://dadosabertos.ccee.org.br/dataset/parcela_carga_consumo,Brasil Mineral — As Maiores Empresas do Setor Mineral,https://www.brasilmineral.com.br/maiores/sama,oficial; imprensa,2026-09-21,,,"jun–dez/2025 no arquivo bruto: 33,298 MWh em 7 meses; anualizado 57,082 MWh (+2.5% contra os 12 meses do painel)",calculado_conferido_com_painel,Squad 2 / Estudante 2 — Sarah Lattouf,"não — base 'produto' fora do vocabulário do motor (rom, beneficiada, conteudo_mineral)","queda de 11,6% sobre 2023; a ANM registra 179.184 t em 2025",v1
