mineral_id,operation_id,year,energy_intensity_mwh_t,production_basis,data_nature,source_id,intensity_id
MIN_022,OPE_960146_2003,2025,44.951039,conteudo_mineral,calculado,SRC_CCEE_PARCELA_CARGA;SRC_EMPRESA_RELATORIO,INT_002
MIN_022,PROC_960795_1982,2025,45.491632,conteudo_mineral,calculado,SRC_CCEE_PARCELA_CARGA;SRC_EMPRESA_RELATORIO,INT_003
MIN_011,OPE_808923_1974,2025,8.107848,conteudo_mineral,calculado,SRC_CCEE_PARCELA_CARGA;SRC_EMPRESA_RELATORIO,INT_004
MIN_023,OPE_861241_1980,2025,66550.289168,conteudo_mineral,calculado,SRC_CCEE_PARCELA_CARGA;SRC_EMPRESA_RELATORIO,INT_009
MIN_022,AGG_COM_CNPJ_42184226_NI,2025,11.674042,beneficiada,estimado,SRC_CCEE_PARCELA_CARGA;SRC_ANM_PROD_BENEF;SRC_ANM_CFEM,INT_012
MIN_011,OPE_808923_1974,2025,1.760642,beneficiada,estimado,SRC_CCEE_PARCELA_CARGA;SRC_ANM_PROD_BENEF;SRC_ANM_CFEM,INT_013
MIN_021,OPE_803343_1973,2025,0.032998,beneficiada,estimado,SRC_CCEE_PARCELA_CARGA;SRC_ANM_PROD_BENEF;SRC_ANM_CFEM,INT_014
MIN_049,OPE_801244_1968,2025,0.168976,beneficiada,estimado,SRC_CCEE_PARCELA_CARGA;SRC_ANM_PROD_BENEF;SRC_ANM_CFEM,INT_015
MIN_049,OPE_801562_1968,2025,0.089031,beneficiada,estimado,SRC_CCEE_PARCELA_CARGA;SRC_ANM_PROD_BENEF;SRC_ANM_CFEM,INT_016
MIN_023,OPE_861241_1980,2025,58753.511983,beneficiada,estimado,SRC_CCEE_PARCELA_CARGA;SRC_ANM_PROD_BENEF;SRC_ANM_CFEM,INT_017
MIN_033,OPE_850037_1975,2025,0.310942,beneficiada,estimado,SRC_CCEE_PARCELA_CARGA;SRC_ANM_PROD_BENEF;SRC_ANM_CFEM,INT_018
MIN_020,OPE_861427_2010,2025,20.93046,beneficiada,estimado,SRC_CCEE_PARCELA_CARGA;SRC_ANM_PROD_BENEF;SRC_ANM_CFEM,INT_019
